iter,point,energy_sampled,approximation_ratio,energy_best,variance_sampled,fidelity_sampled,fidelity_best,ratio_solution,ratio_solution_best,corr_length,const_kernel,noise_level,std_energies,average_distances,n_iterations,time_opt_bayes,time_qaoa,time_opt_kernel,time_step,sampled_state
0,"[149, 193, 256, 137, 214, 242, 276, 124, 273, 300]",-2.565,0.35875,-0.645,0.8078514056224899,0.22,0.22,1.4102564102564104,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 55, '100101': 14, '101001': 2, '101100': 3, '001101': 5, '100001': 39, '100010': 19, '100100': 3, '010001': 23, '101000': 4, '001100': 9, '001001': 2, '000101': 1, '000001': 10, '100000': 11}"
1,"[232, 251, 217, 123, 293, 107, 358, 127, 242, 110]",-1.35,0.6625,-0.645,0.536144578313253,0.016,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 4, '100101': 10, '101001': 8, '001101': 1, '100010': 3, '100001': 6, '000101': 8, '010001': 6, '001001': 4, '101000': 2, '100100': 3, '001100': 1, '100000': 40, '000001': 55, '001000': 15, '000100': 17, '000010': 3, '010000': 1, '000000': 13}"
2,"[197, 140, 101, 287, 284, 352, 223, 181, 253, 282]",-1.36,0.6599999999999999,-0.645,1.1167871485943777,0.024,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 6, '100101': 5, '001101': 4, '101001': 15, '101100': 12, '001100': 7, '100100': 4, '010001': 13, '001001': 4, '101000': 6, '100001': 3, '000101': 6, '100010': 1, '010000': 19, '000010': 16, '100000': 11, '000001': 6, '000000': 62}"
3,"[248, 316, 182, 322, 257, 341, 311, 153, 296, 224]",-0.645,0.83875,-0.645,1.1317068273092368,0.072,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 18, '001101': 2, '101001': 1, '100010': 1, '000010': 1, '000100': 17, '001000': 16, '100000': 6, '000001': 6, '000000': 132}"
4,"[346, 334, 269, 301, 140, 143, 264, 262, 212, 264]",-1.265,0.6837500000000001,-0.645,1.2970080321285142,0.056,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 14, '001101': 6, '101100': 12, '101001': 1, '100001': 10, '010001': 10, '001100': 10, '100010': 14, '001001': 2, '101000': 2, '000101': 4, '100100': 2, '100000': 11, '000001': 11, '000100': 6, '001000': 4, '000000': 81}"
5,"[180, 242, 176, 153, 220, 212, 208, 288, 193, 204]",-2.12,0.47,-0.645,0.3659437751004016,0.032,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 8, '100101': 22, '101001': 13, '100001': 51, '101000': 9, '001100': 20, '000101': 14, '100010': 5, '100100': 13, '010001': 8, '001001': 10, '100000': 20, '001000': 7, '010000': 0}"
6,"[127, 278, 279, 355, 264, 160, 162, 313, 340, 191]",-1.66,0.585,-0.645,0.5979116465863454,0.008,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 2, '101100': 23, '001101': 15, '100101': 1, '101001': 1, '101000': 15, '001100': 4, '100010': 4, '000101': 10, '100100': 6, '001001': 12, '100001': 1, '010000': 17, '100000': 14, '000010': 18, '001000': 19, '000100': 23, '000001': 9, '000000': 6}"
7,"[213, 222, 234, 272, 136, 286, 183, 311, 322, 349]",-1.15,0.7125,-0.645,0.857429718875502,0.02,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 5, '100101': 10, '101001': 1, '001101': 1, '100100': 11, '101000': 15, '001001': 10, '001100': 17, '000101': 5, '000100': 15, '000001': 14, '000010': 3, '001000': 18, '100000': 8, '000000': 67}"
8,"[271, 210, 360, 104, 165, 300, 117, 341, 105, 292]",-1.085,0.72875,-0.645,0.7371686746987952,0.004,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 1, '101100': 10, '001101': 7, '100101': 2, '000101': 1, '100001': 5, '001100': 7, '101000': 7, '010001': 8, '100010': 9, '100100': 1, '001000': 28, '000100': 14, '000001': 22, '100000': 13, '010000': 3, '000000': 62}"
9,"[176, 100, 164, 146, 124, 231, 104, 167, 133, 129]",-1.905,0.5237499999999999,-0.645,0.8240763052208835,0.02,0.22,0.0,1.4102564102564104,1.0460421711272896,136.0252762067028,1.0534187932299749e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 5, '001101': 25, '101100': 25, '101001': 7, '100101': 1, '001100': 16, '010001': 30, '100010': 24, '100001': 1, '000001': 7, '100000': 16, '010000': 16, '000010': 4, '001000': 2, '000000': 21}"
